Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1358022812.05,1358022841.26
,,Google Chrome,1358022844.85,1358023190.16
,,Tweetbot,1358023190.67,1358023197.34
,,Google Chrome,1358023197.85,1358023618.40
,,Tweetbot,1358023618.91,1358023626.58
,,Google Chrome,1358023627.09,1358023633.76
,,Tweetbot,1358023634.27,1358023634.78
,,Google Chrome,1358023635.29,1358023638.37
,,Sublime Text 2,1358023638.88,1358023645.08
,,Finder,1358023645.59,1358023651.23
,,Sublime Text 2,1358023651.74,1358023655.83
,,Terminal,1358023656.34,1358023700.87
,,Activity Monitor,1358023702.40,1358023706.49
,,Terminal,1358023707.00,1358023717.25
,,Google Chrome,1358023717.76,1358023730.57
,,Terminal,1358023731.09,1358023757.71
,,Activity Monitor,1358023758.22,1358023763.87
,,Terminal,1358023764.38,1358023764.89
,,Activity Monitor,1358023765.40,1358023765.91
,,Terminal,1358023766.43,1358023766.94
,,Google Chrome,1358023767.45,1358023788.99
,,Terminal,1358023789.50,1358023799.28
,,Google Chrome,1358023799.79,1358023907.39
,,App Store,1358023907.91,1358023909.44
,,Google Chrome,1358023909.95,1358023911.48
,,Google Chrome,1358023912.52,1358023915.61
,,App Store,1358023916.12,1358023917.67
,,Tweetbot,1358023918.18,1358023920.75
,,App Store,1358023921.27,1358023921.79
,,Tweetbot,1358023922.30,1358023922.81
,,Google Chrome,1358023923.32,1358023969.94
,,Terminal,1358023970.96,1358024005.26
,,Google Chrome,1358024005.77,1358024007.82
,,Sublime Text 2,1358024008.34,1358024033.94
,,Google Chrome,1358024034.45,1358024122.58
,,Sublime Text 2,1358024123.09,1358024126.16
,,Google Chrome,1358024126.67,1358024139.49
,,Terminal,1358024140.00,1358024149.73
,,Google Chrome,1358024150.29,1358024267.14
,,Sublime Text 2,1358024267.65,1358024272.25
,,Terminal,1358024272.76,1358024273.77
,,Google Chrome,1358024274.28,1358024348.59
,,Sublime Text 2,1358024349.63,1358024353.20
,,Google Chrome,1358024354.22,1358024356.81
,,Terminal,1358024357.33,1358024357.87
,,Sublime Text 2,1358024358.38,1358024366.05
,,Terminal,1358024366.56,1358024367.07
,,Google Chrome,1358024367.58,1358024412.14
,,Terminal,1358024412.67,1358024413.18
,,Sublime Text 2,1358024413.69,1358024421.37
,,Terminal,1358024421.88,1358024422.39
,,Google Chrome,1358024422.90,1358024516.16
,,Sublime Text 2,1358024517.18,1358024523.84
,,Terminal,1358024524.36,1358024524.88
,,Google Chrome,1358024525.39,1358024553.59
,,Sublime Text 2,1358024554.62,1358024572.53
,,Terminal,1358024573.04,1358024573.56
,,Google Chrome,1358024574.07,1358024685.75
,,Sublime Text 2,1358024686.77,1358024695.47
,,Sublime Text 2,1358024696.49,1358024703.66
,,Google Chrome,1358024704.68,1358024725.70
,,Terminal,1358024726.22,1358024726.73
,,Sublime Text 2,1358024727.24,1358024729.80
,,Terminal,1358024730.31,1358024730.83
,,Sublime Text 2,1358024731.34,1358024733.89
,,Google Chrome,1358024734.40,1358024785.68
,,Sublime Text 2,1358024786.20,1358024791.83
,,Google Chrome,1358024792.34,1358024798.53
,,Sublime Text 2,1358024799.05,1358024801.61
,,Google Chrome,1358024802.12,1358024806.77
,,Sublime Text 2,1358024807.28,1358024823.14
,,Google Chrome,1358024823.65,1358024833.91
,,Sublime Text 2,1358024834.43,1358024835.45
,,Google Chrome,1358024835.96,1358024890.79
,,Sublime Text 2,1358024891.32,1358024903.62
,,Google Chrome,1358024904.15,1358024905.17
,,Sublime Text 2,1358024905.70,1358024907.23
,,Google Chrome,1358024907.74,1358024958.48
,,Sublime Text 2,1358024958.99,1358024967.69
,,Google Chrome,1358024968.20,1358024978.48
,,Sublime Text 2,1358024978.99,1358024983.08
,,Google Chrome,1358024983.59,1358025217.17
,,Sublime Text 2,1358025217.68,1358025225.86
,,Google Chrome,1358025226.37,1358025838.45
,,Google Chrome,1358025848.53,1358025858.76
,,Sublime Text 2,1358025859.28,1358025864.91
,,Google Chrome,1358025865.43,1358025880.80
,,Sublime Text 2,1358025881.32,1358025885.41
,,Google Chrome,1358025885.92,1358025891.56
,,Sublime Text 2,1358025892.09,1358025906.89
,,Google Chrome,1358025907.92,1358025921.24
,,Terminal,1358025921.75,1358025922.26
,,Sublime Text 2,1358025922.78,1358025926.35
,,Google Chrome,1358025926.87,1358026037.58
,,Sublime Text 2,1358026038.09,1358026046.27
,,Sublime Text 2,1358026047.30,1358026050.88
,,Google Chrome,1358026051.39,1358026055.00
,,Sublime Text 2,1358026055.51,1358026058.08
,,Google Chrome,1358026058.59,1358026060.13
,,Sublime Text 2,1358026060.65,1358026062.19
,,Google Chrome,1358026062.70,1358026087.34
,,Tweetbot,1358026087.85,1358026093.48
,,Google Chrome,1358026093.99,1358026104.75
,,Tweetbot,1358026105.26,1358026121.15
,,Google Chrome,1358026121.66,1358026233.92
,,Tweetbot,1358026235.46,1358026238.02
,,Google Chrome,1358026238.53,1358026240.58
,,Sublime Text 2,1358026241.09,1358026244.67
,,Google Chrome,1358026245.18,1358026259.01
,,Sublime Text 2,1358026259.53,1358026281.51
,,Google Chrome,1358026282.02,1358026283.05
,,Sublime Text 2,1358026283.57,1358026287.68
,,Google Chrome,1358026288.19,1358026293.32
,,Sublime Text 2,1358026293.83,1358026306.11
,,Google Chrome,1358026306.62,1358026311.22
,,Sublime Text 2,1358026311.74,1358026314.30
,,Google Chrome,1358026314.81,1358026317.37
,,Sublime Text 2,1358026317.88,1358026318.91
,,Google Chrome,1358026319.42,1358026323.53
,,Sublime Text 2,1358026324.04,1358026325.57
,,Google Chrome,1358026326.08,1358026330.18
,,Sublime Text 2,1358026330.69,1358026331.21
,,Google Chrome,1358026331.72,1358026333.77
,,Sublime Text 2,1358026334.28,1358026336.33
,,Google Chrome,1358026336.84,1358026442.48
,,Sublime Text 2,1358026442.99,1358026445.04
,,Google Chrome,1358026445.58,1358026451.22
,,Sublime Text 2,1358026451.73,1358026456.85
,,Google Chrome,1358026457.36,1358026464.53
,,Sublime Text 2,1358026465.04,1358026480.39
,,Google Chrome,1358026480.91,1358026489.11
,,Sublime Text 2,1358026489.63,1358026493.72
,,Google Chrome,1358026494.23,1358026499.86
,,Sublime Text 2,1358026500.38,1358026502.94
,,Google Chrome,1358026503.47,1358026515.26
,,Sublime Text 2,1358026515.77,1358026518.32
,,Google Chrome,1358026518.83,1358026534.75
,,Sublime Text 2,1358026535.26,1358026536.28
,,Google Chrome,1358026536.79,1358026540.89
,,Google Chrome,1358026542.42,1358026668.67
,,Google Chrome,1358026669.71,1358026676.86
,,Terminal,1358026677.37,1358026692.15
,,Google Chrome,1358026692.67,1358026693.69
,,Terminal,1358026694.21,1358026706.46
,,Google Chrome,1358026707.00,1358026707.53
,,Terminal,1358026708.04,1358026728.97
,,Google Chrome,1358026729.50,1358026736.78
,,Terminal,1358026737.29,1358026737.81
,,Sublime Text 2,1358026738.32,1358026740.41
,,Google Chrome,1358026740.93,1358026775.12
,,Sublime Text 2,1358026775.64,1358026794.01
,,Google Chrome,1358026794.53,1358026803.23
,,Sublime Text 2,1358026803.74,1358026810.36
,,Google Chrome,1358026810.88,1358026812.92
,,Sublime Text 2,1358026813.43,1358026819.04
,,Google Chrome,1358026819.55,1358026829.83
,,Sublime Text 2,1358026830.37,1358026840.06
,,Google Chrome,1358026840.57,1358026863.13
,,Sublime Text 2,1358026863.64,1358026868.30
,,Google Chrome,1358026868.83,1358027192.48
,,Tweetbot,1358027192.99,1358027206.82
,,Google Chrome,1358027207.34,1358027284.72
,,Sublime Text 2,1358027285.25,1358027289.34
,,Google Chrome,1358027289.86,1358027367.77
,,Terminal,1358027368.29,1358027395.43
,,Sublime Text 2,1358027395.94,1358027396.97
,,Tweetbot,1358027397.48,1358027406.70
,,Google Chrome,1358027407.21,1358027706.53
,,Sublime Text 2,1358027707.05,1358027719.32
,,Google Chrome,1358027719.84,1358027743.41
,,Terminal,1358027743.93,1358027754.71
,,Sublime Text 2,1358027755.23,1358027776.22
,,Google Chrome,1358027777.23,1358027867.97
,,Sublime Text 2,1358027868.99,1358027883.32
,,Sublime Text 2,1358027884.34,1358027892.02
,,Terminal,1358027892.53,1358027893.04
,,Google Chrome,1358027893.56,1358027906.88
,,Sublime Text 2,1358027907.91,1358027909.44
,,Terminal,1358027909.96,1358027910.47
,,Google Chrome,1358027910.98,1358028158.60
,,Tweetbot,1358028159.11,1358028169.86
,,Google Chrome,1358028170.37,1358028185.76
,,Tweetbot,1358028186.27,1358028186.78
,,Google Chrome,1358028187.30,1358028187.81
,,Sublime Text 2,1358028188.32,1358028196.06
,,Google Chrome,1358028196.57,1358028206.33
,,Terminal,1358028206.84,1358028228.90
,,Google Chrome,1358028229.41,1358028257.06
,,Terminal,1358028257.57,1358028258.60
,,Google Chrome,1358028259.11,1358028260.14
,,Terminal,1358028260.66,1358028267.32
,,Google Chrome,1358028267.83,1358028276.54
,,Terminal,1358028277.05,1358028278.58
,,Google Chrome,1358028279.10,1358028323.84
,,Terminal,1358028324.36,1358028332.54
,,Sublime Text 2,1358028333.05,1358028333.56
,,Google Chrome,1358028334.08,1358028339.70
,,Sublime Text 2,1358028340.22,1358028345.34
,,Google Chrome,1358028345.85,1358028429.37
,,Sublime Text 2,1358028429.88,1358028444.71
,,Google Chrome,1358028445.24,1358028449.83
,,Sublime Text 2,1358028450.34,1358028452.39
,,Google Chrome,1358028452.91,1358028457.00
,,Sublime Text 2,1358028457.51,1358028462.64
,,Google Chrome,1358028463.16,1358028469.84
,,Sublime Text 2,1358028470.35,1358028472.91
,,Google Chrome,1358028473.42,1358028477.52
,,Sublime Text 2,1358028478.03,1358028481.11
,,Google Chrome,1358028481.64,1358028582.63
,,Sublime Text 2,1358028583.14,1358028584.67
,,Terminal,1358028585.19,1358028603.64
,,Google Chrome,1358028604.15,1358028614.40
,,Sublime Text 2,1358028615.44,1358028635.41
,,Google Chrome,1358028635.92,1358028644.14
,,Sublime Text 2,1358028644.67,1358028648.25
,,Sublime Text 2,1358028649.27,1358028649.78
,,Google Chrome,1358028650.30,1358028708.37
,,Terminal,1358028708.88,1358028723.24
,,Sublime Text 2,1358028723.75,1358028728.35
,,Sublime Text 2,1358028729.38,1358028729.90
,,Google Chrome,1358028730.41,1358028737.60
,,Sublime Text 2,1358028738.11,1358028747.83
,,Google Chrome,1358028748.34,1358028753.50
,,Sublime Text 2,1358028754.02,1358028759.68
,,Google Chrome,1358028760.20,1358028761.22
,,Sublime Text 2,1358028764.30,1358028767.37
,,Google Chrome,1358028769.42,1358028769.94
,,ColorSchemer Studio,1358028770.45,1358028793.51
,,Sublime Text 2,1358028794.04,1358028798.14
,,Google Chrome,1358028798.65,1358028809.42
,,Sublime Text 2,1358028809.93,1358028810.46
,,ColorSchemer Studio,1358028810.97,1358028814.56
,,Sublime Text 2,1358028815.08,1358028818.65
,,Google Chrome,1358028819.16,1358028858.20
,,Tweetbot,1358028858.71,1358028861.27
,,Google Chrome,1358028861.78,1358029070.08
,,Terminal,1358029070.59,1358029072.14
,,Google Chrome,1358029072.65,1358029073.16
,,Terminal,1358029073.67,1358029074.18
,,Google Chrome,1358029074.70,1358029078.30
,,Terminal,1358029078.81,1358029081.37
,,Sublime Text 2,1358029081.88,1358029099.30
,,Google Chrome,1358029100.32,1358029120.29
,,Terminal,1358029120.80,1358029123.38
,,Google Chrome,1358029123.89,1358029124.92
,,Terminal,1358029125.44,1358029126.47
,,Sublime Text 2,1358029126.98,1358029135.67
,,Google Chrome,1358029136.19,1358029137.22
,,Sublime Text 2,1358029137.75,1358029151.57
,,Google Chrome,1358029152.09,1358029158.75
,,Sublime Text 2,1358029159.26,1358029172.04
,,Google Chrome,1358029172.55,1358029187.40
,,Terminal,1358029187.91,1358029205.30
,,Terminal,1358029206.32,1358029224.24
,,Google Chrome,1358029224.78,1358029519.51
,,ColorSchemer Studio,1358029520.02,1358029520.53
,,Google Chrome,1358029521.04,1358029950.47
,,System Preferences,1358029953.04,1358029965.33
,,Google Chrome,1358029980.25,1358030215.34
,,Google Chrome,1358030216.36,1358030261.95
,,Sublime Text 2,1358030262.98,1358030273.20
,,Terminal,1358030273.71,1358030274.77
,,Google Chrome,1358030275.28,1358030296.25
,,Terminal,1358030296.79,1358030300.88
,,Sublime Text 2,1358030301.39,1358030312.14
,,Google Chrome,1358030313.16,1358030322.89
,,Terminal,1358030323.40,1358030342.35
,,Google Chrome,1358030342.87,1358030454.28
,,Terminal,1358030454.79,1358030455.82
,,Google Chrome,1358030456.33,1358030603.29
,,Sublime Text 2,1358030604.32,1358030613.00
,,Google Chrome,1358030614.53,1358030642.18
,,Sublime Text 2,1358030642.70,1358030643.72
,,Google Chrome,1358030644.24,1358030721.07
,,Sublime Text 2,1358030721.59,1358030725.16
,,Google Chrome,1358030725.67,1358030737.49
,,Sublime Text 2,1358030738.01,1358030739.54
,,Google Chrome,1358030740.06,1358030788.17
,,Terminal,1358030788.68,1358030825.01
,,Google Chrome,1358030825.53,1358030901.29
,,Sublime Text 2,1358030902.33,1358030922.26
,,Google Chrome,1358030923.28,1358030932.00
,,Terminal,1358030932.52,1358030946.85
,,Google Chrome,1358030947.88,1358031185.05
,,Google Chrome,1358031186.58,1358031188.63
,,Firefox,1358031189.14,1358031195.79
,,Google Chrome,1358031196.30,1358031197.33
,,Firefox,1358031197.84,1358031270.06
,,Google Chrome,1358031270.57,1358032114.85
,,Sublime Text 2,1358032115.38,1358032118.98
,,Google Chrome,1358032119.49,1358032120.01
,,Sublime Text 2,1358032120.52,1358032123.08
,,Google Chrome,1358032123.59,1358032127.19
,,Sublime Text 2,1358032127.70,1358032130.25
,,Google Chrome,1358032130.77,1358032136.41
,,Terminal,1358032136.93,1358032229.15
,,Google Chrome,1358032229.67,1358032580.03
,,Terminal,1358032582.60,1358032587.72
,,Google Chrome,1358032588.23,1358032589.25
,,Terminal,1358032589.77,1358032600.52
,,Google Chrome,1358032601.03,1358032645.05
,,Google Chrome,1358099431.97,1358099462.70
,,Finder,1358099463.22,1358099619.97
,,Google Chrome,1358099620.48,1358100110.05
,,Google Chrome,1358100111.07,1358100112.09
,,Tweetbot,1358100112.60,1358100147.93
,,Google Chrome,1358100148.44,1358100587.79
,,Google Chrome,1358100588.81,1358100627.31
,,1Password,1358100627.82,1358100668.83
,,Google Chrome,1358100669.34,1358101197.22
,,Terminal,1358101198.77,1358101253.55
,,Google Chrome,1358101254.07,1358101265.90
,,Terminal,1358101266.42,1358101267.44
,,Google Chrome,1358101267.96,1358101626.00
,,Google Chrome,1358101627.02,1358101628.56
,,Preview,1358101629.59,1358101633.69
,,Finder,1358101634.20,1358101635.23
,,Preview,1358101635.75,1358101637.28
,,Google Chrome,1358101637.80,1358102542.85
,,Preview,1358102543.36,1358102545.41
,,Google Chrome,1358102545.93,1358102596.18
,,Terminal,1358102596.71,1358102597.73
,,Google Chrome,1358102598.25,1358102611.58
,,Terminal,1358102612.10,1358102656.68
,,Tweetbot,1358102657.20,1358102667.99
,,Google Chrome,1358102668.50,1358103175.50
,,Finder,1358103176.01,1358103198.61
,,Tweetbot,1358103199.12,1358103215.00
,,Google Chrome,1358103215.51,1358103218.58
,,Tweetbot,1358103219.09,1358103250.08
,,Google Chrome,1358103250.59,1358103307.56
,,Tweetbot,1358103308.08,1358103310.65
,,Google Chrome,1358103311.16,1358103358.91
,,Tweetbot,1358103359.44,1358103359.97
,,Google Chrome,1358103360.49,1358103447.26
,,Tweetbot,1358103447.77,1358103451.37
,,Google Chrome,1358103451.88,1358103710.29
,,Tweetbot,1358103710.81,1358103711.83
,,Google Chrome,1358103712.34,1358103882.29
,,Tweetbot,1358103882.80,1358103899.24
,,Tweetbot,1358103902.83,1358103924.91
,,Google Chrome,1358103925.42,1358104032.67
,,Dictionary,1358104034.21,1358104039.85
,,Dictionary,1358104040.89,1358104042.94
,,Google Chrome,1358104043.46,1358104117.93
,,Dictionary,1358104118.44,1358104118.96
,,Google Chrome,1358104119.47,1358104802.51
,,Finder,1358104803.03,1358104828.29
,,Google Chrome,1358104828.80,1358105195.43
,,Tweetbot,1358105195.94,1358105253.54
,,Google Chrome,1358105254.06,1358105605.35
,,Tweetbot,1358105605.87,1358105623.34
,,Google Chrome,1358105623.85,1358105647.99
,,Tweetbot,1358105648.51,1358105652.62
,,Google Chrome,1358105653.13,1358106601.85
,,Google Chrome,1358106603.91,1358106693.36
,,Tweetbot,1358106693.87,1358106909.75
,,Google Chrome,1358106910.27,1358107187.19
,,Terminal,1358107187.70,1358107193.36
,,Sublime Text 2,1358107193.87,1358107382.95
,,Sublime Text 2,1358107383.97,1358107385.50
,,Google Chrome,1358107386.02,1358107390.66
,,Sublime Text 2,1358107391.18,1358107406.55
,,Google Chrome,1358107407.08,1358107408.11
,,Sublime Text 2,1358107408.63,1358107411.20
,,Google Chrome,1358107411.72,1358107413.77
,,Terminal,1358107414.29,1358107430.71
,,Google Chrome,1358107431.22,1358107994.22
,,Google Chrome,1358112731.16,1358113093.23
,,Tweetbot,1358113093.74,1358113109.67
,,Google Chrome,1358113110.19,1358113433.86
,,Tweetbot,1358113434.38,1358113500.94
,,Google Chrome,1358113501.45,1358113581.36
,,Tweetbot,1358113581.88,1358113583.42
,,Google Chrome,1358113583.93,1358113707.38
,,Finder,1358113707.90,1358113710.46
,,Finder,1358113711.49,1358113722.82
,,Google Chrome,1358113723.33,1358113730.51
,,Pages,1358113731.02,1358113731.54
,,Google Chrome,1358113732.06,1358113765.97
,,Pages,1358113766.49,1358113787.58
,,Google Chrome,1358113788.09,1358113999.70
,,Finder,1358114009.48,1358114013.59
,,Google Chrome,1358114014.10,1358114049.01
,,Finder,1358114049.53,1358114056.71
,,Google Chrome,1358114057.23,1358114066.97
,,Finder,1358114067.48,1358114069.03
,,Google Chrome,1358114069.54,1358114078.77
,,Finder,1358114079.29,1358114084.44
,,Google Chrome,1358114084.96,1358114087.01
,,Finder,1358114087.52,1358114089.06
,,Google Chrome,1358114089.58,1358114097.29
,,Finder,1358114097.81,1358114098.84
,,Pages,1358114099.35,1358114104.00
,,Finder,1358114104.51,1358114107.09
,,Preview,1358114107.60,1358114109.14
,,Google Chrome,1358114109.65,1358114110.68
,,Preview,1358114111.19,1358114111.71
,,Google Chrome,1358114112.22,1358114113.25
,,Preview,1358114113.76,1358114114.28
,,Google Chrome,1358114114.79,1358114134.34
,,Google Chrome,1358114135.37,1358114139.49
,,Preview,1358114140.00,1358114140.51
,,Google Chrome,1358114141.03,1358114141.55
,,Google Chrome,1358114142.58,1358114154.39
,,Preview,1358114154.91,1358114155.42
,,Google Chrome,1358114155.94,1358114212.87
,,Preview,1358114213.38,1358114214.92
,,Google Chrome,1358114215.43,1358114371.16
,,Tweetbot,1358114371.68,1358114399.39
,,Google Chrome,1358114399.90,1358114460.58
,,Tweetbot,1358114461.10,1358114463.66
,,Google Chrome,1358114464.17,1358115571.13
,,Tweetbot,1358115572.66,1358115586.01
,,Google Chrome,1358115586.52,1358115588.06
,,Tweetbot,1358115588.57,1358115595.76
,,Google Chrome,1358115596.27,1358116474.71
,,Google Chrome,1358116483.44,1358116556.81
,,Google Chrome,1358116558.40,1358116803.36
,,Tweetbot,1358116803.88,1358116811.06
,,Google Chrome,1358116811.57,1358117447.68
,,Tweetbot,1358117448.19,1358117483.57
,,Google Chrome,1358117484.08,1358117564.33
,,Tweetbot,1358117564.84,1358117586.90
,,Google Chrome,1358117587.42,1358117668.70
,,Tweetbot,1358117669.21,1358117677.96
,,Google Chrome,1358117678.48,1358117729.04
,,Tweetbot,1358117729.56,1358117778.03
,,Google Chrome,1358117778.55,1358117860.81
,,Tweetbot,1358117861.32,1358117865.44
,,Google Chrome,1358117865.95,1358117907.57
,,Tweetbot,1358117908.08,1358117913.73
,,Google Chrome,1358117914.25,1358118887.56
,,Finder,1358118888.07,1358118890.65
,,Preview,1358118891.17,1358118916.40
,,Preview,1358118917.43,1358118921.54
,,Google Chrome,1358118922.05,1358118925.14
,,Preview,1358118925.65,1358118926.17
,,Google Chrome,1358118926.68,1358118933.36
,,Google Chrome,1358118934.39,1358119435.43
,,Tweetbot,1358119435.94,1358119441.59
,,Google Chrome,1358119442.11,1358119449.30
,,Finder,1358119452.89,1358119464.21
,,Pages,1358119464.72,1358119474.50
,,Finder,1358119475.01,1358119476.04
,,Pages,1358119476.56,1358119485.81
,,Google Chrome,1358119486.32,1358120396.46
,,Google Chrome,1358124378.87,1358124391.78
,,Pages,1358124392.29,1358124392.81
,,Google Chrome,1358124393.33,1358124394.37
,,Tweetbot,1358124394.88,1358124403.64
,,Google Chrome,1358124404.16,1358124413.91
,,Tweetbot,1358124414.42,1358124415.98
,,Google Chrome,1358124416.49,1358124573.31
,,Preview,1358124573.83,1358124574.35
,,Google Chrome,1358124574.87,1358124723.56
,,Google Chrome,1358124725.11,1358125045.70
,,Tweetbot,1358125046.21,1358125051.39
,,Google Chrome,1358125051.91,1358125112.51
,,Tweetbot,1358125113.03,1358125115.09
,,Google Chrome,1358125115.60,1358125198.36
,,Tweetbot,1358125198.87,1358125205.55
,,Google Chrome,1358125206.06,1358125213.80
,,Google Chrome,1358125214.84,1358125284.74
,,Google Chrome,1358125285.77,1358125287.31
,,Sublime Text 2,1358125287.83,1358125296.03
,,Google Chrome,1358125296.54,1358125333.63
,,Sublime Text 2,1358125334.15,1358125408.46
,,Google Chrome,1358125408.97,1358125421.31
,,Sublime Text 2,1358125421.82,1358125425.93
,,Google Chrome,1358125426.44,1358125484.06
,,Sublime Text 2,1358125484.58,1358125487.66
,,Google Chrome,1358125488.18,1358125771.59
,,Sublime Text 2,1358125772.11,1358125804.95
,,Google Chrome,1358125805.46,1358125815.74
,,Sublime Text 2,1358125816.26,1358125820.92
,,Google Chrome,1358125821.43,1358125829.77
,,Sublime Text 2,1358125830.28,1358125833.87
,,Google Chrome,1358125834.38,1358125845.23
,,Sublime Text 2,1358125845.76,1358125859.10
,,Google Chrome,1358125859.63,1358125894.08
,,Tweetbot,1358125894.60,1358125901.31
,,Google Chrome,1358125901.83,1358125941.46
,,Sublime Text 2,1358125942.03,1358125968.69
,,Google Chrome,1358125969.21,1358126156.43
,,Sublime Text 2,1358126156.96,1358126223.11
,,Sublime Text 2,1358126224.15,1358126232.87
,,Google Chrome,1358126233.38,1358126302.27
,,Sublime Text 2,1358126302.79,1358126305.86
,,Google Chrome,1358126306.37,1358126483.97
,,Google Chrome,1358126648.85,1358126649.87
,,Sublime Text 2,1358126650.38,1358126658.61
,,Google Chrome,1358126659.12,1358126659.65
,,Sublime Text 2,1358126660.17,1358126669.93
,,Google Chrome,1358126670.45,1358126680.77
,,Sublime Text 2,1358126681.28,1358126683.85
,,Terminal,1358126684.36,1358126686.42
,,Google Chrome,1358126686.95,1358126689.54
,,Terminal,1358126690.06,1358126693.15
,,Google Chrome,1358126693.68,1358126694.19
,,Terminal,1358126694.72,1358126697.33
,,Terminal,1358126698.38,1358126699.92
,,Google Chrome,1358126700.46,1358126704.58
,,Terminal,1358126705.12,1358126713.86
,,Google Chrome,1358126714.39,1358126720.55
,,Terminal,1358126721.07,1358126725.17
,,Sublime Text 2,1358126725.69,1358126731.86
,,Google Chrome,1358126732.39,1358126771.96
,,System Preferences,1358126772.48,1358126775.07
,,Google Chrome,1358126775.59,1358126777.64
,,System Preferences,1358126778.16,1358126794.62
,,Google Chrome,1358126795.13,1358126800.79
,,Sublime Text 2,1358126801.30,1358126815.68
,,Google Chrome,1358126816.20,1358126819.85
,,Sublime Text 2,1358126820.36,1358126822.94
,,Google Chrome,1358126823.45,1358126904.65
,,Sublime Text 2,1358126905.17,1358126909.27
,,Google Chrome,1358126909.79,1358126930.84
,,Sublime Text 2,1358126931.36,1358126943.66
,,Google Chrome,1358126944.17,1358127060.86
,,Finder,1358127061.38,1358127061.89
,,Google Chrome,1358127062.40,1358127119.44
,,Finder,1358127119.95,1358127123.56
,,Sublime Text 2,1358127124.08,1358127131.78
,,Finder,1358127132.30,1358127132.81
,,Google Chrome,1358127133.35,1358127145.16
,,Sublime Text 2,1358127145.68,1358127152.36
,,Google Chrome,1358127152.87,1358127169.32
,,Sublime Text 2,1358127169.84,1358127172.40
,,Sublime Text 2,1358127173.95,1358127174.46
,,ColorSchemer Studio,1358127174.98,1358127193.97
,,Sublime Text 2,1358127194.48,1358127196.02
,,Google Chrome,1358127196.53,1358127198.59
,,Sublime Text 2,1358127199.10,1358127200.65
,,Google Chrome,1358127201.16,1358127203.22
,,Sublime Text 2,1358127203.74,1358127204.28
,,Google Chrome,1358127204.80,1358127215.10
,,Sublime Text 2,1358127215.62,1358127216.67
,,ColorSchemer Studio,1358127217.18,1358127241.84
,,Sublime Text 2,1358127242.35,1358127243.89
,,Google Chrome,1358127244.41,1358127249.57
,,Sublime Text 2,1358127250.09,1358127250.60
,,ColorSchemer Studio,1358127251.11,1358127253.17
,,Sublime Text 2,1358127253.68,1358127255.73
,,Google Chrome,1358127256.25,1358127273.72
,,Sublime Text 2,1358127274.24,1358127274.75
,,Terminal,1358127275.27,1358127310.78
,,Google Chrome,1358127311.29,1358127312.32
,,Tweetbot,1358127312.84,1358127338.04
,,Google Chrome,1358127338.55,1358127433.12
,,Terminal,1358127433.64,1358127434.66
,,Sublime Text 2,1358127435.18,1358127440.83
,,Google Chrome,1358127441.36,1358127442.90
,,Sublime Text 2,1358127443.42,1358127444.44
,,Terminal,1358127444.96,1358127463.43
,,Google Chrome,1358127463.94,1358127464.46
,,Sublime Text 2,1358127465.49,1358127473.69
,,Google Chrome,1358127474.21,1358127505.04
,,Sublime Text 2,1358127505.55,1358127506.58
,,Terminal,1358127507.09,1358127517.86
,,Google Chrome,1358127518.37,1358127519.40
,,Terminal,1358127519.92,1358127520.44
,,Sublime Text 2,1358127520.95,1358127530.19
,,Google Chrome,1358127531.22,1358127607.20
,,Tweetbot,1358127607.72,1358127609.79
,,Google Chrome,1358127610.30,1358127656.54
,,Sublime Text 2,1358127657.57,1358127662.70
,,Google Chrome,1358127663.23,1358127664.28
,,Sublime Text 2,1358127664.79,1358127667.86
,,Google Chrome,1358127668.38,1358127676.13
,,Sublime Text 2,1358127676.65,1358127677.67
,,Google Chrome,1358127678.21,1358127695.20
,,Sublime Text 2,1358127695.71,1358127696.74
,,Terminal,1358127697.25,1358127705.47
,,Google Chrome,1358127705.98,1358127706.49
,,Sublime Text 2,1358127707.52,1358127720.35
,,Google Chrome,1358127720.86,1358127734.28
,,Sublime Text 2,1358127734.81,1358127738.91
,,Google Chrome,1358127739.43,1358127761.06
,,Terminal,1358127761.58,1358127773.39
,,Google Chrome,1358127773.90,1358127776.47
,,Sublime Text 2,1358127776.99,1358127796.52
,,Google Chrome,1358127797.04,1358127811.42
,,Sublime Text 2,1358127811.94,1358127817.58
,,Terminal,1358127818.09,1358127830.92
,,Google Chrome,1358127831.44,1358128064.62
,,Tweetbot,1358128065.14,1358128066.69
,,Google Chrome,1358128068.25,1358128650.71
,,ColorSchemer Studio,1358128651.22,1358128652.28
,,Google Chrome,1358128652.80,1358128798.79
,,ColorSchemer Studio,1358128799.30,1358128800.33
,,Tweetbot,1358128800.84,1358128802.90
,,Google Chrome,1358128803.42,1358129341.33
,,Tweetbot,1358129341.84,1358129367.06
,,Google Chrome,1358129367.57,1358129446.74
,,Tweetbot,1358129447.26,1358129448.80
,,Google Chrome,1358129449.31,1358129465.90
,,Google Chrome,1358129466.94,1358129472.58
,,Terminal,1358129473.09,1358129483.35
,,Google Chrome,1358129483.86,1358129488.00
,,Sublime Text 2,1358129489.05,1358129501.92
,,Google Chrome,1358129502.44,1358129505.02
,,Sublime Text 2,1358129505.54,1358129510.15
,,Terminal,1358129510.66,1358129514.24
,,Google Chrome,1358129514.76,1358129605.55
