Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Tweetbot,1358537697.22,1358537704.53
,,Google Chrome,1358537705.05,1358537880.63
,,Tweetbot,1358537881.15,1358537882.73
,,Google Chrome,1358537883.25,1358538168.42
,,Tweetbot,1358538168.94,1358538177.26
,,Google Chrome,1358538177.78,1358538233.36
,,Google Chrome,1358538252.58,1358538293.63
,,Tweetbot,1358538294.15,1358538361.19
,,Google Chrome,1358538361.72,1358538397.56
,,Finder,1358538398.60,1358538457.17
,,Finder,1358538458.21,1358538460.28
,,Google Chrome,1358538460.80,1358538470.67
,,Finder,1358538471.19,1358538471.71
,,Google Chrome,1358538472.23,1358538472.75
,,Finder,1358538473.27,1358538475.86
,,Google Chrome,1358538476.38,1358538476.90
,,Finder,1358538477.42,1358538479.50
,,Google Chrome,1358538480.02,1358538497.76
,,Finder,1358538498.28,1358538502.43
,,Google Chrome,1358538502.95,1358538622.90
,,Finder,1358538623.42,1358538626.02
,,Google Chrome,1358538626.54,1358538949.12
,,Finder,1358538949.65,1358538964.76
,,Finder,1358538965.79,1358539005.32
,,Google Chrome,1358539005.84,1358539225.40
,,Google Chrome,1358539272.02,1358539337.38
,,Finder,1358539337.91,1358539338.95
,,Sublime Text 2,1358539339.47,1358539341.02
,,Google Chrome,1358542482.81,1358542487.50
,,Google Chrome,1358542488.54,1358545865.47
,,Google Chrome,1358545866.51,1358546568.15
,,Terminal,1358546569.19,1358546633.07
,,Google Chrome,1358546633.59,1358546701.49
,,Terminal,1358546702.01,1358546722.28
,,Google Chrome,1358546722.80,1358546723.84
,,Terminal,1358546724.36,1358546772.64
,,Google Chrome,1358546773.16,1358546777.33
,,Terminal,1358546777.85,1358546778.88
,,Google Chrome,1358546779.40,1358546780.45
,,Terminal,1358546780.97,1358546798.10
,,Google Chrome,1358546798.62,1358546929.40
,,Finder,1358546929.92,1358546960.13
,,Google Chrome,1358546960.65,1358547843.43
,,Google Chrome,1358548733.53,1358548734.04
,,Terminal,1358548735.60,1358548747.55
,,Google Chrome,1358548748.06,1358548752.24
,,Terminal,1358548752.75,1358548784.46
,,Google Chrome,1358548784.99,1358548792.29
,,Terminal,1358548792.82,1358548813.09
,,Google Chrome,1358548813.62,1358548865.81
,,Terminal,1358548866.34,1358548877.25
,,Google Chrome,1358548877.77,1358548880.89
,,Terminal,1358548881.41,1358548906.31
,,Google Chrome,1358548906.84,1358548927.14
,,Terminal,1358548927.66,1358548954.22
,,Google Chrome,1358548954.76,1358549041.01
,,Terminal,1358549041.53,1358549047.76
,,Google Chrome,1358549048.28,1358549124.75
,,Terminal,1358549125.28,1358549141.35
,,Google Chrome,1358549141.88,1358549486.25
,,Terminal,1358549486.77,1358549490.41
,,Google Chrome,1358549490.94,1358549509.69
,,Terminal,1358549510.21,1358549515.41
,,Google Chrome,1358549515.94,1358549516.45
,,Terminal,1358549516.98,1358549528.93
,,Google Chrome,1358549529.45,1358549532.05
,,Terminal,1358549532.58,1358549550.75
,,Google Chrome,1358549551.28,1358549573.22
,,Terminal,1358549573.74,1358549599.20
,,Google Chrome,1358549599.72,1358549611.74
,,Terminal,1358549612.27,1358549617.98
,,Google Chrome,1358549618.51,1358549620.59
,,Terminal,1358549621.11,1358549682.38
,,Google Chrome,1358549682.90,1358549702.16
,,Terminal,1358549702.69,1358549724.63
,,Google Chrome,1358549725.17,1358549726.22
,,Terminal,1358549726.75,1358549848.93
,,Google Chrome,1358549849.45,1358549853.08
,,Terminal,1358549853.60,1358549855.15
,,Google Chrome,1358549855.67,1358549884.41
,,Terminal,1358549884.95,1358549932.80
,,Google Chrome,1358549933.33,1358549943.25
,,Terminal,1358549943.78,1358549946.38
,,Google Chrome,1358549946.91,1358549947.43
,,Terminal,1358549947.96,1358549949.00
,,Google Chrome,1358549949.53,1358549950.06
,,Terminal,1358549950.59,1358550002.99
,,Google Chrome,1358550003.53,1358550008.72
,,Terminal,1358550009.24,1358550027.88
,,Google Chrome,1358550028.42,1358550029.46
,,Terminal,1358550029.98,1358550059.06
,,Google Chrome,1358550059.60,1358550060.13
,,Terminal,1358550060.66,1358550109.82
,,Terminal,1358550717.91,1358550720.56
,,Google Chrome,1358550721.08,1358551582.76
,,Google Chrome,1358615297.19,1358615323.24
,,Android File Transfer,1358615323.76,1358615324.28
,,Google Chrome,1358615324.80,1358615612.58
,,Google Chrome,1358615613.62,1358615741.12
,,Tweetbot,1358615741.64,1358615751.03
,,Google Chrome,1358615751.55,1358615843.71
,,Tweetbot,1358615844.23,1358615896.72
,,Google Chrome,1358615897.24,1358616114.07
,,Google Chrome,1358616116.66,1358616131.23
,,Google Chrome,1358616133.32,1358616139.57
,,Finder,1358616140.09,1358616141.65
,,Google Chrome,1358616142.17,1358616285.63
,,Tweetbot,1358616286.15,1358616302.80
,,Google Chrome,1358616303.32,1358616398.51
,,Tweetbot,1358616399.04,1358616464.51
,,Google Chrome,1358616465.03,1358616472.95
,,Google Chrome,1358616499.71,1358616501.28
,,1Password,1358616503.36,1358616524.43
,,Google Chrome,1358616524.95,1358616526.51
,,TextEdit,1358616528.59,1358616529.63
,,Google Chrome,1358616530.15,1358616537.95
,,TextEdit,1358616538.47,1358616550.41
,,Google Chrome,1358616550.94,1358616551.98
,,TextEdit,1358616552.50,1358616553.02
,,Google Chrome,1358616553.54,1358616567.55
,,Google Chrome,1358618448.22,1358618484.65
,,Tweetbot,1358618486.23,1358618507.54
,,Google Chrome,1358618508.06,1358618572.13
,,Tweetbot,1358618572.65,1358618586.70
,,Google Chrome,1358618587.22,1358618589.84
